DATE,NASDAQCOM,Change
1972-08-18,131.43,0.004125602
1972-08-21,131.29,-0.001065206
1972-08-22,131.29,0
1972-08-23,131.1,-0.001447178
1972-08-24,130.4,-0.005339436
1972-08-25,130.31,-0.000690184
1972-08-28,129.77,-0.004143964
1972-08-29,129.44,-0.002542961
1972-08-30,129.78,0.0026267
1972-08-31,129.95,0.001309909
1972-09-01,130.7,0.005771451
1972-09-04,130.7,0
1972-09-05,130.33,-0.00283091
1972-09-06,129.63,-0.005370981
1972-09-07,129.21,-0.003239991
1972-09-08,129.13,-0.000619147
1972-09-11,128.26,-0.006737396
1972-09-12,127.18,-0.008420396
1972-09-13,127.51,0.002594748
1972-09-14,127.58,0.000548977
1972-09-15,127.67,0.00070544
1972-09-18,127.61,-0.000469962
1972-09-19,127.42,-0.001488912
1972-09-20,127.51,0.000706326
1972-09-21,127.3,-0.00164693
1972-09-22,127.46,0.001256874
1972-09-25,126.82,-0.005021183
1972-09-26,127.07,0.001971298
1972-09-27,128.55,0.011647124
1972-09-28,129.13,0.004511863
1972-09-29,129.61,0.003717184
1972-10-02,129.3,-0.002391791
1972-10-03,129.48,0.001392111
1972-10-04,129.29,-0.001467408
1972-10-05,128.01,-0.009900224
1972-10-06,128.13,0.000937427
1972-10-09,128.51,0.002965738
1972-10-10,129.02,0.003968563
1972-10-11,128.57,-0.003487831
1972-10-12,127.87,-0.005444505
1972-10-13,127.19,-0.005317901
1972-10-16,125.87,-0.010378174
1972-10-17,126.43,0.004449035
1972-10-18,127.05,0.004903899
1972-10-19,126.91,-0.001101928
1972-10-20,128,0.008588764
1972-10-23,128.66,0.00515625
1972-10-24,128.91,0.001943106
1972-10-25,128.89,-0.000155147
1972-10-26,129.37,0.003724106
1972-10-27,129.53,0.001236763
1972-10-30,129.46,-0.000540415
1972-10-31,130.24,0.006025027
1972-11-01,131.59,0.010365479
1972-11-02,132.12,0.004027662
1972-11-03,133.34,0.00923403
1972-11-06,133.58,0.00179991
1972-11-07,133.58,0
1972-11-08,133.06,-0.003892798
1972-11-09,132.82,-0.001803698
1972-11-10,133.12,0.002258696
1972-11-13,132.77,-0.002629207
1972-11-14,132.9,0.000979137
